"Infant","Mother.Rank","Handler","Handler.Rank"
"KG/LM","Hi","NQ","Hi"
"KG/LM","Hi","NQ","Hi"
"KG/LM","Hi","NQ","Hi"
"KG/LM","Hi","NQ","Hi"
"KG/LM","Hi","PO","Hi"
"KG/LM","Hi","HQ","Mid"
"KG/LM","Hi","SK","Mid"
"KG/LM","Hi","SK","Mid"
"KG/LM","Hi","SK","Mid"
"KG/LM","Hi","ST","Mid"
"KG/LM","Hi","PT","Low"
"KG/LM","Hi","PT","Low"
"KG/LM","Hi","RS","Low"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KM","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","KN","Hi"
"HZ/HQ","Mid","NQ","Hi"
"HZ/HQ","Mid","NQ","Hi"
"HZ/HQ","Mid","NQ","Hi"
"HZ/HQ","Mid","NQ","Hi"
"HZ/HQ","Mid","NQ","Hi"
"HZ/HQ","Mid","NQ","Hi"
"HZ/HQ","Mid","NQ","Hi"
"HZ/HQ","Mid","PO","Hi"
"HZ/HQ","Mid","PO","Hi"
"HZ/HQ","Mid","PO","Hi"
"HZ/HQ","Mid","PO","Hi"
"HZ/HQ","Mid","PO","Hi"
"HZ/HQ","Mid","LL","Mid"
"HZ/HQ","Mid","LL","Mid"
"HZ/HQ","Mid","NY","Mid"
"HZ/HQ","Mid","PS","Mid"
"HZ/HQ","Mid","SK","Mid"
"HZ/HQ","Mid","SK","Mid"
"HZ/HQ","Mid","SK","Mid"
"HZ/HQ","Mid","SK","Mid"
"HZ/HQ","Mid","SK","Mid"
"HZ/HQ","Mid","ST","Mid"
"HZ/HQ","Mid","ST","Mid"
"HZ/HQ","Mid","ST","Mid"
"HZ/HQ","Mid","ST","Mid"
"HZ/HQ","Mid","ST","Mid"
"HZ/HQ","Mid","ST","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","WK","Mid"
"HZ/HQ","Mid","AL","Low"
"HZ/HQ","Mid","CO","Low"
"HZ/HQ","Mid","CO","Low"
"HZ/HQ","Mid","CO","Low"
"HZ/HQ","Mid","CO","Low"
"HZ/HQ","Mid","CO","Low"
"HZ/HQ","Mid","CO","Low"
"HZ/HQ","Mid","DD","Low"
"HZ/HQ","Mid","DD","Low"
"HZ/HQ","Mid","DD","Low"
"HZ/HQ","Mid","LY","Low"
"HZ/HQ","Mid","MH","Low"
"HZ/HQ","Mid","MH","Low"
"HZ/HQ","Mid","MH","Low"
"HZ/HQ","Mid","MH","Low"
"HZ/HQ","Mid","ML","Low"
"HZ/HQ","Mid","PA","Low"
"HZ/HQ","Mid","PA","Low"
"HZ/HQ","Mid","PA","Low"
"HZ/HQ","Mid","PA","Low"
"HZ/HQ","Mid","PA","Low"
"HZ/HQ","Mid","PA","Low"
"HZ/HQ","Mid","PA","Low"
"HZ/HQ","Mid","PA","Low"
"HZ/HQ","Mid","PA","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","PT","Low"
"HZ/HQ","Mid","RS","Low"
"LC/LL","Mid","KM","Hi"
"LC/LL","Mid","KM","Hi"
"LC/LL","Mid","KM","Hi"
"LC/LL","Mid","KM","Hi"
"LC/LL","Mid","NQ","Hi"
"LC/LL","Mid","PO","Hi"
"LC/LL","Mid","PO","Hi"
"LC/LL","Mid","PO","Hi"
"LC/LL","Mid","PO","Hi"
"LC/LL","Mid","HQ","Mid"
"LC/LL","Mid","HQ","Mid"
"LC/LL","Mid","HQ","Mid"
"LC/LL","Mid","NY","Mid"
"LC/LL","Mid","NY","Mid"
"LC/LL","Mid","PS","Mid"
"LC/LL","Mid","SK","Mid"
"LC/LL","Mid","ST","Mid"
"LC/LL","Mid","ST","Mid"
"LC/LL","Mid","ST","Mid"
"LC/LL","Mid","ST","Mid"
"LC/LL","Mid","ST","Mid"
"LC/LL","Mid","WK","Mid"
"LC/LL","Mid","WK","Mid"
"LC/LL","Mid","WK","Mid"
"LC/LL","Mid","AL","Low"
"LC/LL","Mid","LS","Low"
"LC/LL","Mid","MH","Low"
"LC/LL","Mid","MH","Low"
"LC/LL","Mid","ML","Low"
"LC/LL","Mid","MM","Low"
"LC/LL","Mid","PA","Low"
"LC/LL","Mid","PT","Low"
"LC/LL","Mid","RS","Low"
"LC/LL","Mid","RS","Low"
"LC/LL","Mid","RS","Low"
"LC/LL","Mid","RS","Low"
"LC/LL","Mid","RS","Low"
"LC/LL","Mid","RS","Low"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KM","Hi"
"NK/NY","Mid","KN","Hi"
"NK/NY","Mid","KN","Hi"
"NK/NY","Mid","KN","Hi"
"NK/NY","Mid","KN","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","NQ","Hi"
"NK/NY","Mid","PO","Hi"
"NK/NY","Mid","PO","Hi"
"NK/NY","Mid","PO","Hi"
"NK/NY","Mid","PO","Hi"
"NK/NY","Mid","PO","Hi"
"NK/NY","Mid","HQ","Mid"
"NK/NY","Mid","HQ","Mid"
"NK/NY","Mid","HQ","Mid"
"NK/NY","Mid","HQ","Mid"
"NK/NY","Mid","HQ","Mid"
"NK/NY","Mid","HQ","Mid"
"NK/NY","Mid","HQ","Mid"
"NK/NY","Mid","HQ","Mid"
"NK/NY","Mid","HQ","Mid"
"NK/NY","Mid","LL","Mid"
"NK/NY","Mid","PS","Mid"
"NK/NY","Mid","PS","Mid"
"NK/NY","Mid","SK","Mid"
"NK/NY","Mid","SK","Mid"
"NK/NY","Mid","SK","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","ST","Mid"
"NK/NY","Mid","WK","Mid"
"NK/NY","Mid","WK","Mid"
"NK/NY","Mid","WK","Mid"
"NK/NY","Mid","WK","Mid"
"NK/NY","Mid","WK","Mid"
"NK/NY","Mid","WK","Mid"
"NK/NY","Mid","WK","Mid"
"NK/NY","Mid","AL","Low"
"NK/NY","Mid","AL","Low"
"NK/NY","Mid","AL","Low"
"NK/NY","Mid","AL","Low"
"NK/NY","Mid","AL","Low"
"NK/NY","Mid","AL","Low"
"NK/NY","Mid","AL","Low"
"NK/NY","Mid","AL","Low"
"NK/NY","Mid","CO","Low"
"NK/NY","Mid","CO","Low"
"NK/NY","Mid","CO","Low"
"NK/NY","Mid","CO","Low"
"NK/NY","Mid","CO","Low"
"NK/NY","Mid","CO","Low"
"NK/NY","Mid","DD","Low"
"NK/NY","Mid","DD","Low"
"NK/NY","Mid","DD","Low"
"NK/NY","Mid","LS","Low"
"NK/NY","Mid","MH","Low"
"NK/NY","Mid","MH","Low"
"NK/NY","Mid","ML","Low"
"NK/NY","Mid","MM","Low"
"NK/NY","Mid","PA","Low"
"NK/NY","Mid","PA","Low"
"NK/NY","Mid","PA","Low"
"NK/NY","Mid","PA","Low"
"NK/NY","Mid","PA","Low"
"NK/NY","Mid","PH","Low"
"NK/NY","Mid","PH","Low"
"NK/NY","Mid","PH","Low"
"NK/NY","Mid","PT","Low"
"NK/NY","Mid","PT","Low"
"NK/NY","Mid","RS","Low"
