Lab	q1a	q1b	q2	q3
Ben	y	NA	c	c
Josh	NA	n	d	e
Josh	NA	n	e	e
Ben	NA	n	e	e
Josh	y	NA	d	e
Josh	y	NA	b	b
Josh	NA	y	b	b
Josh	n	NA	e	e
Adam	NA	y	e	e
Ben	NA	n	d	d
Adam	y	NA	a	b
Josh	n	NA	d	e
Ben	n	NA	b	c
Adam	NA	y	d	b
Josh	NA	y	c	d
Josh	n	NA	e	d
Adam	NA	y	d	c
Ben	NA	y	e	e
Adam	n	NA	c	c
Adam	NA	y	a	b
Adam	NA	n	e	b
Josh	y	NA	d	d
Adam	n	NA	e	d
Ben	n	NA	d	d
Josh	NA	y	d	d
Adam	NA	n	b	b
Ben	NA	n	c	d
Josh	n	NA	d	c
Ben	NA	n	c	b
Josh	NA	n	e	d
Josh	y	NA	b	b
Adam	NA	y	d	d
Ben	n	NA	c	b
Ben	n	NA	c	c
Adam	y	NA	b	d
Josh	NA	n	c	c
Adam	NA	y	d	c
Ben	NA	y	a	b
Josh	NA	y	a	e
Ben	NA	n	c	d
Ben	n	NA	e	d
Ben	n	NA	c	b
Josh	y	NA	d	c
Adam	NA	y	d	e
Josh	NA	n	d	d
Adam	NA	n	d	e
Josh	n	NA	e	e
Adam	n	NA	d	c
Josh	NA	y	b	b
Josh	y	NA	d	c
Ben	NA	n	b	b
Adam	y	NA	d	c
Ben	n	NA	d	d
Josh	NA	n	e	d
Adam	NA	y	e	e
Adam	y	NA	c	c
Ben	NA	n	b	b
Adam	NA	n	d	d
Ben	n	NA	d	e
Ben	NA	n	e	e
Josh	n	NA	e	e
Ben	NA	n	d	d
Adam	NA	n	c	e
Adam	n	NA	b	b
Ben	NA	n	d	d
Adam	n	NA	c	c
Josh	n	NA	a	c
Adam	y	NA	a	a
Adam	n	NA	d	d
Josh	NA	n	d	e
Josh	NA	y	b	c
Josh	n	NA	d	d
Ben	n	NA	c	b
Josh	NA	n	d	d
Ben	NA	n	d	b
Josh	NA	n	b	b
Ben	n	NA	c	b
Josh	NA	n	e	e
Josh	NA	n	c	c
Josh	y	NA	d	d
Adam	NA	n	b	b
Ben	y	NA	c	c
Ben	NA	n	d	d
Adam	NA	n	e	c
Josh	NA	y	b	d
Josh	NA	y	c	c
Adam	n	NA	e	d
Ben	y	NA	c	b
Josh	NA	n	c	e
Josh	n	NA	b	b
Ben	NA	n	d	d
Adam	n	NA	e	e
Ben	y	NA	d	e
Ben	NA	n	a	b
Josh	n	NA	b	b
Adam	NA	n	d	d
Adam	n	NA	e	c
Ben	NA	y	c	d
Josh	n	NA	e	e
Adam	n	NA	d	e
Adam	NA	n	e	e
Josh	n	NA	d	c
Josh	NA	n	d	d
Josh	NA	n	d	d
Adam	NA	n	c	d
